date,sales
2015-01-01,46743
2015-02-01,68008
2015-03-01,71943
2015-04-01,62245
2015-05-01,56679
2015-06-01,58467
2015-07-01,46249
2015-08-01,52259
2015-09-01,52441
2015-10-01,37693
2015-11-01,33927
2015-12-01,66758
2016-01-01,61532
2016-02-01,70158
2016-03-01,76821
2016-04-01,72520
2016-05-01,72091
2016-06-01,67132
2016-07-01,63600
2016-08-01,61763
2016-09-01,57914
2016-10-01,51825
2016-11-01,40215
2016-12-01,77628
2017-01-01,60356
2017-02-01,77220
2017-03-01,87934
2017-04-01,76596
2017-05-01,72112
2017-06-01,65045
2017-07-01,66880
2017-08-01,59267
2017-09-01,57446
2017-10-01,52312
2017-11-01,52863
2017-12-01,80639
2018-01-01,71185
2018-02-01,88257
2018-03-01,89632
2018-04-01,88792
2018-05-01,77175
2018-06-01,69506
2018-07-01,73533
2018-08-01,76443
2018-09-01,70835
2018-10-01,61435
2018-11-01,64317
2018-12-01,89457
2019-01-01,81171
2019-02-01,99966
2019-03-01,95448
2019-04-01,91883
2019-05-01,91881
2019-06-01,79354
2019-07-01,81853
2019-08-01,84989
2019-09-01,79551
2019-10-01,73794
2019-11-01,68685
2019-12-01,98485
2020-01-01,82975
2020-02-01,102695
2020-03-01,107331
2020-04-01,98080
2020-05-01,97961
2020-06-01,91228
2020-07-01,88959
2020-08-01,88140
2020-09-01,80342
2020-10-01,76186
2020-11-01,72663
2020-12-01,99843
2021-01-01,95839
2021-02-01,104077
2021-03-01,107078
2021-04-01,112236
2021-05-01,99557
2021-06-01,95487
2021-07-01,93369
2021-08-01,91080
2021-09-01,94762
2021-10-01,80580
2021-11-01,83299
2021-12-01,111817
2022-01-01,98467
2022-02-01,111170
2022-03-01,118309
2022-04-01,112538
2022-05-01,114088
2022-06-01,103418
2022-07-01,106391
2022-08-01,99155
2022-09-01,98598
2022-10-01,93239
2022-11-01,84370
2022-12-01,119547
2023-01-01,103216
2023-02-01,117396
2023-03-01,128703
2023-04-01,122097
2023-05-01,116811
2023-06-01,104049
2023-07-01,112136
2023-08-01,117811
2023-09-01,105040
2023-10-01,96867
2023-11-01,92973
2023-12-01,117927
2024-01-01,114807
2024-02-01,123729
2024-03-01,133341
2024-04-01,134022
2024-05-01,119738
2024-06-01,118546
2024-07-01,120097
2024-08-01,117911
2024-09-01,108060
2024-10-01,102826
2024-11-01,105371
2024-12-01,124496
